city,neighborhood,median_ppsqm,count,mean_ppsqm,ltype
ابها,الاندلس,1799.4897172236504,9,2702.168932644423,sale
ابها,البحيره,1400.0,12,2704.9499685447695,sale
ابها,البديع,2892.561983471074,124,26410.38506734301,sale
ابها,التعاون,1000.0,26,7015.595595263807,sale
ابها,الروابي,2666.6666666666665,252,21289.577516281413,sale
ابها,الروضة,2643.171806167401,51,17274.441654702045,sale
ابها,الزهور,2756.4289888953826,202,29531.92047414084,sale
ابها,السلام,1434.2857142857142,14,1420.8848270491314,sale
ابها,الشفاء,31837.91606367583,7,59816.10840442449,sale
ابها,الصفا,2912.621359223301,89,32234.84103397134,sale
ابها,العرين,4000.0,71,8198.782308358348,sale
ابها,العقيق,2282.8185328185327,36,9545.731899404236,sale
ابها,القرى,1878.1725888324872,11,12624.648650146615,sale
ابها,المروج,3005.454467057606,82,14805.80851783206,sale
ابها,المسك,2955.6650246305417,13,11647.939682056674,sale
ابها,المصيف,1142.857142857143,11,30154.988983308707,sale
ابها,المطار,2574.8502994011974,20,17923.848595076783,sale
ابها,المنهل,2789.6995708154504,7,3661.6698201522127,sale
ابها,النزهة,3339.0581717451523,4,3908.5460835622107,sale
ابها,النسيم,2625.0,19,14037.708899832061,sale
ابها,الوصايف,2282.1576763485477,13,20895.19180630293,sale
ابها,ذرة,3382.663847780127,7,18300.828064700923,sale
ابها,سلطانة,1090.6863753213368,77,16941.368777529686,sale
ابها,شمسان,3225.8064516129034,59,18553.701776394046,sale
ابو عريش,الروضة,2766.2023545867814,78,37204.01719560645,sale
ابو عريش,الصفا,3087.1516124325112,54,35199.122752257324,sale
احد رفيده,الخليج,2642.537919826652,134,32213.846821445833,sale
احد رفيده,النهضة,2920.792079207921,145,34284.558973051084,sale
الارطاوية,سلطانة,2402.745995423341,3,2200.91533180778,sale
الباحة,الشروق,705.5627370916754,6,680.3249586066664,sale
الباحة,النزهة,3940.4553415061296,9,4316.118207036361,sale
البدائع,الاصفر,590.9090909090909,5,947.8155622823658,sale
البدائع,الاندلس,1419.3548387096773,17,9360.231903820384,sale
البدائع,السلام,893.4782608695652,10,1498.0626938913092,sale
البدائع,رامات,1417.9054054054054,18,12676.786717597928,sale
البكيرية,الامل,1024.4654335563428,16,1043.181429141426,sale
البكيرية,الخليج,1342.288597053171,10,1429.082691431182,sale
البكيرية,الديرة,1996.01593625498,14,9675.478798962591,sale
البكيرية,الربوة,1378.0871947044054,18,1362.1661048782046,sale
البكيرية,الرياض,1142.857142857143,13,1259.6018000679333,sale
البكيرية,الريان,1553.019828159188,22,1625.3011366682806,sale
البكيرية,الزهرة,878.5388127853881,22,1261.5112308714251,sale
البكيرية,القادسية,1428.5714285714287,21,6754.818632542727,sale
البكيرية,النهضة,1432.748538011696,5,1359.081920759833,sale
الجبيل,البحر,2187.5,18,2258.233351634511,sale
الجبيل,البستان,2300.1280338454685,3,2300.085355896979,sale
الجبيل,الحمراء,2977.667493796526,29,22639.724402547203,sale
الجبيل,الدانة,3792.6675094816687,3,4170.449474420689,sale
الجبيل,الروضة,2631.5789473684213,13,10850.76113093472,sale
الجبيل,الضباب,3775.5102040816328,6,3929.3862705559427,sale
الجبيل,العزيزية,2483.1310350176445,168,7053.621057570523,sale
الجبيل,الفيحاء,3088.1017257039057,21,3397.3691134151914,sale
الجبيل,القدس,3786.3377357123886,24,3614.4151923096983,sale
الجبيل,المرقاب,6925.207756232687,5,7673.069421673313,sale
الجبيل,المطرفية,4347.826086956522,13,4348.437076336664,sale
الجبيل,جلمودة,4200.501253132832,48,4318.065059526177,sale
الجبيل,دارين,3984.06374501992,15,3932.9244848958483,sale
الجبيل,طيبة,3025.252525252525,8,2983.381356162753,sale
الجبيل,غرناطة,2275.862068965517,25,12756.036467320058,sale
الجبيل,قرطبة,2380.5522208883554,58,5643.4197672867485,sale
الجموم,النخيل,3273.542600896861,15,20155.348588927907,sale
الخبر,ابن سيناء,5762.331838565023,6,47490.06383698355,sale
الخبر,الاسكان,2112.676056338028,4,3507.5839653304442,sale
الخبر,الامواج,3351.3027852650494,252,17540.64968928118,sale
الخبر,الاندلس,4231.522154316272,38,4558.085664301982,sale
الخبر,البحر,4768.211920529801,238,4677.649586238926,sale
الخبر,البحيرة,4166.666666666667,128,4890.6214564383,sale
الخبر,البندرية,5560.743285446596,28,5531.343080833099,sale
الخبر,التحلية,3359.683794466403,87,12155.106847605839,sale
الخبر,التعاون,3706.618962432916,22,9923.569434602106,sale
الخبر,الثقبة,7142.756016989146,40,8288.613842648127,sale
الخبر,الجسر,3487.7643145640295,46,6251.263503899656,sale
الخبر,الجوهرة,3307.6923076923076,8,3475.5575241313495,sale
الخبر,الحزام الاخضر,4672.897196261682,7,5926.43561845372,sale
الخبر,الحزام الذهبي,7975.530932594645,12,7375.293829278835,sale
الخبر,الحمراء,3724.8322147651006,364,6989.727298307844,sale
الخبر,الخبر الجنوبية,7327.277017461067,34,8843.12769670124,sale
الخبر,الخزامى,4090.909090909091,77,14104.30652771646,sale
الخبر,الخور,5167.496055346523,24,15240.211198326428,sale
الخبر,الراكة الجنوبية,4098.540145985402,52,4638.13933932699,sale
الخبر,الرجاء,1100.265903307888,32,1349.3588985228278,sale
الخبر,الروابي,4712.041884816754,25,4992.458151453319,sale
الخبر,الشراع,3775.7437070938213,275,14340.372873105365,sale
الخبر,الصواري,4088.050314465409,275,15500.654412553602,sale
الخبر,العقربية,4901.9607843137255,15,4647.288832983694,sale
الخبر,العقيق,1400.0,175,16516.872771640068,sale
الخبر,العليا,5691.888207225631,30,5929.864890472556,sale
الخبر,الكوثر,1158.1536748329622,83,1957.4353480328716,sale
الخبر,الكورنيش,4301.308243727599,9,4525.372943177333,sale
الخبر,اللؤلؤ,1999.087591240876,246,7899.777743395096,sale
الخبر,المرجان,1000.4827031375704,32,1038.159434725913,sale
الخبر,المها,1300.0,14,1942.9538779797633,sale
الخبر,اليرموك,6228.673287496817,10,9381.510058568882,sale
الخبر,صناعية الثقبة,4923.076923076923,11,5447.18778154361,sale
الخبر,صناعية الفوازية,4081.6326530612246,14,16157.749352501227,sale
الخبر,قرطبة,4914.529914529914,23,5176.558267004235,sale
الخبر,مدينة العمال,7869.142351900973,34,11697.146566481502,sale
الخرج,الجامعة,925.4282136894824,38,4941.710932549557,sale
الخرج,الخالدية,2296.7668506042855,36,6148.558428882412,sale
الخرج,الزاهر,1500.0,9,1409.8070250096387,sale
الخرج,السلام,1909.7222222222222,21,3619.8314614778183,sale
الخرج,العالية,923.6150202976996,24,1158.0310339680298,sale
الخرج,العدامة,786.8279569892472,14,1066.3066099355958,sale
الخرج,الفيصلية,1500.122386537481,27,1619.9130537841882,sale
الخرج,الناصفة,2086.9565217391305,53,4579.697495336054,sale
الخرج,النهضة,1300.0,16,10380.107785522949,sale
الخرج,الهدا,1600.0,29,1519.1664235677401,sale
الخرج,الورود,2875.0,19,23531.649912212637,sale
الخرج,اليرموك,1400.0,16,8586.576224758679,sale
الخرج,اليمامة,1292.7769818799547,4,32324.959919511406,sale
الخرج,مشرف,555.448717948718,62,967.9690474639467,sale
الخفجي,الخزامى,730.2883096366509,8,1290.3628840072256,sale
الخفجي,الروضة,500.0,8,780.3962728551337,sale
