region,city,district,median_ppsqm,count,mean_ppsqm,std_ppsqm,ltype
المنطقة الشرقية,الجبيل,البحر,2187.5,18,2258.233351634511,881.515262896266,sale
المنطقة الشرقية,الجبيل,البستان,2300.1280338454685,3,2300.085355896979,0.073920375146626,sale
المنطقة الشرقية,الجبيل,الحمراء,2977.667493796526,29,22639.724402547203,50179.481104378785,sale
المنطقة الشرقية,الجبيل,الدانة,3792.6675094816687,3,4170.449474420689,1124.1064147378722,sale
المنطقة الشرقية,الجبيل,الروضة,2631.5789473684213,13,10850.76113093472,29801.074775524146,sale
المنطقة الشرقية,الجبيل,الضباب,3775.5102040816328,6,3929.3862705559427,2111.8183827294138,sale
المنطقة الشرقية,الجبيل,العزيزية,2476.6355140186915,169,7013.762118279929,24134.572943981377,sale
المنطقة الشرقية,الجبيل,الفيحاء,3088.1017257039057,21,3397.3691134151914,859.5249449944957,sale
المنطقة الشرقية,الجبيل,القدس,3786.3377357123886,24,3614.4151923096983,717.3337537545067,sale
المنطقة الشرقية,الجبيل,المرقاب,6925.207756232687,5,7673.069421673313,3780.299721061747,sale
المنطقة الشرقية,الجبيل,المطرفية,4347.826086956522,13,4348.437076336664,456.5407280686121,sale
المنطقة الشرقية,الجبيل,جلمودة,4200.501253132832,48,4318.065059526177,503.47027986682696,sale
المنطقة الشرقية,الجبيل,دارين,3984.06374501992,15,3932.9244848958483,495.9062787229589,sale
المنطقة الشرقية,الجبيل,طيبة,3025.252525252525,8,2983.381356162753,1364.8978145058802,sale
المنطقة الشرقية,الجبيل,غرناطة,2275.862068965517,25,12756.036467320058,37471.33912049504,sale
المنطقة الشرقية,الجبيل,قرطبة,2380.5522208883554,58,5643.4197672867485,17475.727147130267,sale
المنطقة الشرقية,الخبر,ابن سيناء,4857.9970104633785,5,24488.076604380265,44469.016652645434,sale
المنطقة الشرقية,الخبر,الاسكان,2112.676056338028,4,3507.5839653304442,2789.815817984832,sale
المنطقة الشرقية,الخبر,الامواج,3333.3333333333335,251,16968.655819074687,39717.00599929673,sale
المنطقة الشرقية,الخبر,الاندلس,4231.522154316272,38,4558.085664301982,1375.3139624578478,sale
المنطقة الشرقية,الخبر,البحر,4768.211920529801,238,4677.649586238926,2936.4160690585927,sale
المنطقة الشرقية,الخبر,البحيرة,4166.666666666667,128,4890.6214564383,11315.840399732939,sale
المنطقة الشرقية,الخبر,البندرية,5267.064176245211,32,4883.850898540207,3144.822598328312,sale
المنطقة الشرقية,الخبر,التحلية,3359.683794466403,87,12155.106847605839,31748.936430486818,sale
المنطقة الشرقية,الخبر,التعاون,3706.618962432916,22,9923.569434602106,29976.577525742785,sale
المنطقة الشرقية,الخبر,الثقبة,7142.756016989146,40,8288.613842648127,4288.471328593717,sale
المنطقة الشرقية,الخبر,الجسر,3487.7643145640295,46,6251.263503899656,16331.04238174922,sale
المنطقة الشرقية,الخبر,الجوهرة,3264.584408879711,10,2846.599865458926,1618.8898932060467,sale
المنطقة الشرقية,الخبر,الحزام الاخضر,4672.897196261682,7,5926.43561845372,3367.6854381229264,sale
المنطقة الشرقية,الخبر,الحزام الذهبي,7975.530932594645,12,7375.293829278835,2166.324513622628,sale
المنطقة الشرقية,الخبر,الحمراء,3724.8322147651006,364,6989.727298307844,19336.113214101704,sale
المنطقة الشرقية,الخبر,الخبر الجنوبية,7327.277017461067,34,8843.12769670124,4235.304253600879,sale
المنطقة الشرقية,الخبر,الخزامى,4090.909090909091,74,8088.264900461723,23869.471199141037,sale
المنطقة الشرقية,الخبر,الخور,5167.496055346523,24,15240.211198326428,34553.107232411276,sale
المنطقة الشرقية,الخبر,الراكة الجنوبية,4098.540145985402,52,4638.13933932699,2169.712062240106,sale
المنطقة الشرقية,الخبر,الرجاء,1100.265903307888,32,1349.3588985228278,824.1893457709534,sale
المنطقة الشرقية,الخبر,الروابي,4712.041884816754,25,4992.458151453319,1314.9772021534177,sale
المنطقة الشرقية,الخبر,الشراع,3775.7437070938213,275,14340.372873105365,35527.1085589605,sale
المنطقة الشرقية,الخبر,الصواري,4088.050314465409,274,14964.16045055562,35560.55727988018,sale
المنطقة الشرقية,الخبر,العقربية,4901.9607843137255,15,4647.288832983694,1515.0770817690386,sale
المنطقة الشرقية,الخبر,العقيق,1400.8840206185569,178,16256.981657511304,40768.26654040888,sale
المنطقة الشرقية,الخبر,العليا,5691.888207225631,30,5929.864890472556,1792.0828957065112,sale
المنطقة الشرقية,الخبر,الكوثر,1158.1536748329622,83,1957.4353480328716,1587.4395650938836,sale
المنطقة الشرقية,الخبر,الكورنيش,4301.308243727599,9,4525.372943177333,826.4993535281668,sale
المنطقة الشرقية,الخبر,اللؤلؤ,1999.087591240876,245,7274.425362302378,26198.1430668584,sale
المنطقة الشرقية,الخبر,المرجان,1000.4827031375704,32,1038.159434725913,249.84525009443934,sale
المنطقة الشرقية,الخبر,المها,1300.0,14,1942.9538779797633,945.1400006933787,sale
المنطقة الشرقية,الخبر,اليرموك,6228.673287496817,10,9381.510058568882,11539.35628569704,sale
المنطقة الشرقية,الخبر,صناعية الثقبة,4923.076923076923,11,5447.18778154361,2912.3525134117076,sale
المنطقة الشرقية,الخبر,صناعية الفوازية,4081.6326530612246,14,16157.749352501227,31824.51608465678,sale
المنطقة الشرقية,الخبر,قرطبة,4914.529914529914,23,5176.558267004235,1966.1608755888265,sale
المنطقة الشرقية,الخبر,مدينة العمال,7869.142351900973,34,11697.146566481502,20265.730398526604,sale
المنطقة الشرقية,الخفجي,الخزامى,670.0,9,1191.4336746730894,1122.0621713567305,sale
المنطقة الشرقية,الخفجي,الروضة,500.0,8,780.3962728551337,811.4523489929511,sale
المنطقة الشرقية,الخفجي,السلام,2240.0,3,2313.8501291989664,322.300797110214,sale
المنطقة الشرقية,الخفجي,الشاطئ,754.0,14,3024.0558308429754,8006.919367956535,sale
المنطقة الشرقية,الخفجي,العزيزية,1356.3992651561543,4,1759.9022866491523,1246.8889427787255,sale
المنطقة الشرقية,الخفجي,الملك فهد,1441.03176283748,6,1669.5105876124933,873.12974190513,sale
المنطقة الشرقية,الدمام,احد,2982.4561403508774,56,14793.735240641461,38630.75347826134,sale
المنطقة الشرقية,الدمام,الأثير,3446.7218897484554,14,3405.5490552944416,1803.446433379351,sale
المنطقة الشرقية,الدمام,الأمانة,3424.6575342465753,107,9639.600187016731,29090.45199702338,sale
المنطقة الشرقية,الدمام,الأنوار,2363.6363636363635,153,13603.237677181167,33618.27186114821,sale
المنطقة الشرقية,الدمام,الإسكان الجنوبي,1200.2388059701493,36,1681.4099346901332,1970.950133080556,sale
المنطقة الشرقية,الدمام,الاسكان الشمالي,3708.053080312323,18,3674.0943669881035,1009.2836528015949,sale
المنطقة الشرقية,الدمام,الامير محمد بن سعود,3000.8913213448004,9,19817.45557609794,46654.622195668795,sale
المنطقة الشرقية,الدمام,البادية,6172.83950617284,23,13148.4976443005,31668.44181369134,sale
المنطقة الشرقية,الدمام,البديع,2955.6291390728475,4,3083.4395695364237,870.5437608484574,sale
المنطقة الشرقية,الدمام,الجامعيين,3315.217391304348,154,14014.416540288908,34263.041674135115,sale
